policy_id,age,gender,region,policy_tenure_months,vehicle_age_years,vehicle_type,annual_premium,num_prev_claims,driving_experience_years,credit_score,annual_mileage_km,has_anti_theft,occupation,marital_status,claim,claim_amount,claim_age
P100000,56,Male,South,94,19,Truck,12982.65,0,39.0,565.0,18770.0,No,Employed,Single,1,63080.38,56.0
P100001,69,Male,West,72,0,Truck,9823.06,2,48.0,698.0,16696.0,No,Employed,Married,1,59887.84,70.0
P100002,46,Male,South,100,16,Sedan,16948.63,0,26.0,525.0,6892.0,No,Employed,Single,1,38133.57,47.0
P100003,32,Female,West,29,19,Sedan,11974.96,1,14.0,769.0,13040.0,No,Employed,Married,1,26089.92,32.0
P100004,60,Female,North,205,17,Truck,13574.47,0,42.0,709.0,10927.0,No,Employed,Married,1,80577.21,60.0
P100005,25,Male,North,59,7,Sedan,8159.75,0,6.0,598.0,17710.0,No,Retired,Married,1,40735.47,25.0
P100006,78,Female,North,25,12,SUV,2660.31,0,59.0,736.0,10976.0,No,Employed,Married,1,50447.43,78.0
P100007,38,Male,East,150,3,SUV,7284.65,0,22.0,688.0,8159.0,No,Self-employed,Single,1,18244.43,38.0
P100008,56,Male,North,238,18,Sedan,19316.69,1,40.0,683.0,15685.0,No,Employed,Married,1,29504.9,57.0
P100009,75,Female,South,97,2,SUV,14576.81,0,55.0,631.0,17946.0,No,Employed,Married,1,54394.98,76.0
P100010,36,Male,West,101,5,SUV,10271.84,0,18.0,689.0,13968.0,No,Employed,Married,1,30337.69,36.0
P100011,40,Female,West,117,5,SUV,14289.49,0,21.0,551.0,14861.0,No,Employed,Single,1,38287.11,40.0
P100012,28,Male,West,199,5,Sedan,13691.41,0,8.0,654.0,6024.0,Yes,Self-employed,Married,1,16705.29,28.0
P100013,28,Female,West,23,7,Truck,4796.39,0,10.0,602.0,5610.0,No,Employed,Married,0,0.0,
P100014,41,Male,South,70,16,Sedan,15399.53,0,22.0,630.0,5250.0,Yes,Employed,Single,1,30405.19,42.0
P100015,70,Male,West,79,9,Sedan,4367.58,0,54.0,602.0,17254.0,No,Employed,Married,0,0.0,
P100016,53,Male,South,79,4,Sedan,9485.0,0,35.0,605.0,10064.0,Yes,Employed,Single,0,0.0,
P100017,57,Female,South,168,18,Truck,8079.48,2,38.0,740.0,16132.0,No,Self-employed,Married,1,70473.18,58.0
P100018,41,Female,West,98,10,Sedan,12804.28,0,21.0,550.0,8999.0,No,Self-employed,Single,1,38528.35,41.0
P100019,20,Female,West,14,9,Truck,12843.93,0,0.0,679.0,11927.0,No,Employed,Single,0,0.0,
P100020,39,Male,West,29,2,SUV,2000.0,0,22.0,571.0,7972.0,No,Self-employed,Married,1,26370.7,39.0
P100021,70,Male,South,144,9,Motorcycle,16920.37,0,52.0,743.0,10362.0,Yes,Employed,Single,1,55729.26,70.0
P100022,19,Male,East,221,1,SUV,12249.79,0,0.0,680.0,3452.0,No,Employed,Single,1,18347.06,19.0
P100023,41,Female,South,87,8,SUV,15851.41,1,23.0,552.0,10412.0,Yes,Retired,Married,1,14036.78,41.0
